Data,Horário,Estádio,Árbitro,Casa,GolsCasa,GolsVisitante,Visitante
16/07/2020,19:30,OLIMPICO GRANDE TORINO (Torino),GIANLUCA ROCCHI,Torino,3,0,Genoa
16/07/2020,21:45,PAOLO MAZZA (Ferrara),ANTONIO GIUA,Spal,0,4,Inter
18/07/2020,17:15,MARCANTONIO BENTEGODI (Verona),ROSARIO ABISSO,Hellas Verona,1,1,Atalanta
18/07/2020,19:30,UNIPOL DOMUS (Cagliari),GIOVANNI AYROLDI,Cagliari,1,1,Sassuolo
18/07/2020,21:45,GIUSEPPE MEAZZA (Milano),DAVIDE MASSA,Milan,5,1,Bologna
19/07/2020,17:15,ENNIO TARDINI (Parma),GIANPAOLO CALVARESE,Parma,2,3,Sampdoria
19/07/2020,19:30,MARIO RIGAMONTI (Brescia),EUGENIO ABBATTISTA,Brescia,2,1,Spal
19/07/2020,19:30,ARTEMIO FRANCHI (Firenze),MAURIZIO MARIANI,Fiorentina,2,0,Torino
19/07/2020,19:30,LUIGI FERRARIS (Genova),DANIELE DOVERI,Genoa,2,1,Lecce
19/07/2020,19:30,SAN PAOLO (Napoli),DANIELE CHIFFI,Napoli,2,1,Udinese
19/07/2020,21:45,OLIMPICO (Roma),MARCO DI BELLO,Roma,2,2,Inter
20/07/2020,21:45,ALLIANZ STADIUM (Torino),DANIELE ORSATO,Juventus,2,1,Lazio
21/07/2020,19:30,GEWISS STADIUM (Bergamo),FEDERICO LA PENNA,Atalanta,1,0,Bologna
21/07/2020,21:45,MAPEI STADIUM - CITTA' DEL TRICOLORE (Reggio Emilia),LUCA PAIRETTO,Sassuolo,1,2,Milan
22/07/2020,19:30,ENNIO TARDINI (Parma),ANTONIO GIUA,Parma,2,1,Napoli
22/07/2020,21:45,GIUSEPPE MEAZZA (Milano),PIERO GIACOMELLI,Inter,0,0,Fiorentina
22/07/2020,21:45,ETTORE GIARDINIERO - VIA DEL MARE (Lecce),FABIO MARESCA,Lecce,3,1,Brescia
22/07/2020,21:45,LUIGI FERRARIS (Genova),MARCO GUIDA,Sampdoria,1,2,Genoa
22/07/2020,21:45,PAOLO MAZZA (Ferrara),GIANLUCA MANGANIELLO,Spal,1,6,Roma
22/07/2020,21:45,OLIMPICO GRANDE TORINO (Torino),PAOLO VALERI,Torino,1,1,Hellas Verona
23/07/2020,19:30,DACIA ARENA - STADIO FRIULI (Udine),MASSIMILIANO IRRATI,Udinese,2,1,Juventus
23/07/2020,21:45,OLIMPICO (Roma),MARCO PICCININI,Lazio,2,1,Cagliari
24/07/2020,21:45,GIUSEPPE MEAZZA (Milano),DANIELE DOVERI,Milan,1,1,Atalanta
25/07/2020,17:15,MARIO RIGAMONTI (Brescia),LORENZO MAGGIONI,Brescia,1,2,Parma
25/07/2020,19:30,LUIGI FERRARIS (Genova),DAVIDE MASSA,Genoa,0,3,Inter
25/07/2020,21:45,SAN PAOLO (Napoli),GIANLUCA AURELIANO,Napoli,2,0,Sassuolo
26/07/2020,17:15,RENATO DALL'ARA (Bologna),GIANPAOLO CALVARESE,Bologna,3,2,Lecce
26/07/2020,19:30,UNIPOL DOMUS (Cagliari),FABRIZIO PASQUA,Cagliari,0,1,Udinese
26/07/2020,19:30,MARCANTONIO BENTEGODI (Verona),MANUEL VOLPI,Hellas Verona,1,5,Lazio
26/07/2020,19:30,OLIMPICO (Roma),DANIELE CHIFFI,Roma,2,1,Fiorentina
26/07/2020,19:30,PAOLO MAZZA (Ferrara),ROSARIO ABISSO,Spal,1,1,Torino
26/07/2020,21:45,ALLIANZ STADIUM (Torino),FRANCESCO FOURNEAU,Juventus,2,0,Sampdoria
28/07/2020,19:30,ENNIO TARDINI (Parma),LUCA PAIRETTO,Parma,1,2,Atalanta
28/07/2020,21:45,GIUSEPPE MEAZZA (Milano),PAOLO VALERI,Inter,2,0,Napoli
29/07/2020,19:30,MARCANTONIO BENTEGODI (Verona),SIMONE SOZZA,Hellas Verona,3,0,Spal
29/07/2020,19:30,OLIMPICO (Roma),LUCA MASSIMI,Lazio,2,0,Brescia
29/07/2020,19:30,LUIGI FERRARIS (Genova),FABRIZIO PASQUA,Sampdoria,1,4,Milan
